,Название,Код,Срок(месяца),Цена,Рейтинг,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Феррони БО-01,RU000A1053R3,21.0,912.0,Низкий,11.74,1000.0,12.0,140.88,20.55,15.45,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
1,Роснано БО-002P выпуск 5,RU000A102HB3,2.0,882.0,Низкий,29.23,1000.0,2.0,58.46,29.23,6.63,https://www.tinkoff.ru/invest/bonds/RU000A102HB3/
2,Роснано выпуск 8,RU000A1008V9,53.0,831.2,Средний,58.2,1000.0,2.0,116.4,1542.3,14.0,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
3,Роснано БО-002P выпуск 4,RU000A101KK0,5.0,840.1,Низкий,14.79,1000.0,4.0,59.16,18.49,7.04,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
4,СПМК БО-02,RU000A106FN3,5.0,956.5,Низкий,30.88,1000.0,4.0,123.52,38.6,12.91,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
5,ВТБ СУБ выпуск 1,RU000A102QJ7,33.0,7536832.5,Средний,326954.27,15073665.0,2.0,653908.54,5394745.46,8.68,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
6,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,4.0,935.6,Низкий,21.14,1000.0,4.0,84.56,21.14,9.04,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
7,Alfa Bank,RU000A100GW5,11.0,8300000.0,Средний,254862.15,10000000.0,4.0,1019448.6,700870.91,12.28,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
8,Феррони БО-02,RU000A105P64,2.0,910.0,Низкий,11.74,1000.0,12.0,140.88,1.96,15.48,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
9,МФК Эйрлоанс выпуск 1,RU000A1043L7,18.0,912.8,Низкий,9.4,1000.0,12.0,112.8,14.1,12.36,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
10,М.Видео выпуск 3,RU000A104ZK2,21.0,861.5,Низкий,26.71,1000.0,4.0,106.84,140.23,12.4,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
11,М.Видео выпуск 4,RU000A106540,18.0,890.2,23.04.2025,28.27,1000.0,4.0,113.08,127.22,12.7,https://www.tinkoff.ru/invest/bonds/RU000A106540/
12,М.Видео выпуск 2,RU000A103HT3,9.0,901.5,Низкий,17.49,1000.0,4.0,69.96,39.35,7.76,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
