,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Феррони БО-01,RU000A1053R3,912.0,Низкий,21.0,11.74,1000.0,12.0,140.88,20.55,15.45,https://www.tinkoff.ru/invest/bonds/RU000A1053R3/
1,Роснано БО-002P выпуск 5,RU000A102HB3,882.0,Низкий,2.0,29.23,1000.0,2.0,58.46,29.23,6.63,https://www.tinkoff.ru/invest/bonds/RU000A102HB3/
2,Роснано выпуск 8,RU000A1008V9,831.2,Средний,53.0,58.2,1000.0,2.0,116.4,1542.3,14.0,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
3,Роснано БО-002P выпуск 4,RU000A101KK0,840.1,Низкий,5.0,14.79,1000.0,4.0,59.16,18.49,7.04,https://www.tinkoff.ru/invest/bonds/RU000A101KK0/
4,СПМК БО-02,RU000A106FN3,956.5,Низкий,43.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
5,ВТБ СУБ выпуск 1,RU000A102QJ7,7536832.5,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
6,Агрофирма-племзавод Победа выпуск 1,RU000A102S23,935.6,Низкий,4.0,21.14,1000.0,4.0,84.56,21.14,9.04,https://www.tinkoff.ru/invest/bonds/RU000A102S23/
7,Alfa Bank,RU000A100GW5,8300000.0,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
8,Феррони БО-02,RU000A105P64,910.0,Низкий,26.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105P64/
9,МФК Эйрлоанс выпуск 1,RU000A1043L7,912.8,Низкий,18.0,9.4,1000.0,12.0,112.8,14.1,12.36,https://www.tinkoff.ru/invest/bonds/RU000A1043L7/
10,М.Видео выпуск 3,RU000A104ZK2,861.5,Низкий,21.0,26.71,1000.0,4.0,106.84,140.23,12.4,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
11,М.Видео выпуск 4,RU000A106540,890.2,23.04.2025,30.0,28.27,1000.0,4.0,113.08,212.03,12.7,https://www.tinkoff.ru/invest/bonds/RU000A106540/
12,М.Видео выпуск 2,RU000A103HT3,901.5,Низкий,9.0,17.49,1000.0,4.0,69.96,39.35,7.76,https://www.tinkoff.ru/invest/bonds/RU000A103HT3/
13,РКК выпуск 3,RU000A106GZ5,991.2,Средний,56.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A106GZ5/
14,М.Видео выпуск 1,RU000A103117,953.1,Низкий,6.0,47.68,1000.0,2.0,95.36,143.04,10.01,https://www.tinkoff.ru/invest/bonds/RU000A103117/
15,Газпром Капитал БЗО26-1-Е,RU000A105QX1,74986.06749,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105QX1/
16,АПРИ Флай Плэнинг выпуск 3,RU000A106WZ2,1022.2,Средний,47.0,45.5,1000.0,4.0,182.0,534.62,17.8,https://www.tinkoff.ru/invest/bonds/RU000A106WZ2/
17,Эфферон выпуск 1,RU000A105H98,921.2,Средний,49.0,37.93,1000.0,4.0,151.72,464.64,16.47,https://www.tinkoff.ru/invest/bonds/RU000A105H98/
18,Т.Г. Шевченко выпуск 4,RU000A104ZU1,999.3,Средний,33.0,36.8,1000.0,4.0,147.2,303.6,14.73,https://www.tinkoff.ru/invest/bonds/RU000A104ZU1/
19,Селлер выпуск 2,RU000A106X30,1001.2,Средний,34.0,12.79,1000.0,12.0,153.48,36.24,15.33,https://www.tinkoff.ru/invest/bonds/RU000A106X30/
20,Газпром Капитал БЗО26-1-Д,RU000A105QW3,74664.7868089,Средний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A105QW3/
21,АПРИ Флай Плэнинг БО-П5,RU000A103N19,932.9,Низкий,22.0,28.19,1000.0,4.0,112.76,155.05,12.09,https://www.tinkoff.ru/invest/bonds/RU000A103N19/
22,Фордевинд2,RU000A106DK4,966.8,Низкий,31.0,11.4,1000.0,12.0,136.8,29.45,14.15,https://www.tinkoff.ru/invest/bonds/RU000A106DK4/
23,НИКА обб01,RU000A1050X7,969.4,Низкий,21.0,32.19,1000.0,4.0,128.76,169.0,13.28,https://www.tinkoff.ru/invest/bonds/RU000A1050X7/
24,АПРИ Флай Плэнинг БО-2Р-02,RU000A106631,1001.0,Низкий,42.0,38.98,1000.0,4.0,155.92,409.29,15.58,https://www.tinkoff.ru/invest/bonds/RU000A106631/
